Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR35329988,2026-02-05 14:35:38,2025-09-10 17:31:40,62628496,18913805792,62628496,302,5691,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329988/SRR35329988.lite.1,SRX30430917,GSM9228494,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465303,SAMN51250258,simple,10090,Mus musculus,GSM9228494,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,430324E4E92357A72DD717672B9D7829,28510E9CE636D5D86575A5702DF10E0F
SRR35329989,2026-02-05 14:35:38,2025-09-10 17:30:00,60136549,18161237798,60136549,302,5459,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329989/SRR35329989.lite.1,SRX30430916,GSM9228495,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465302,SAMN51250257,simple,10090,Mus musculus,GSM9228495,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,10B81E30359C194E883C95670D0686FF,E58093A584FF7AF002F46CF0A70F949A
SRR35329990,2026-02-05 14:35:38,2025-09-10 17:32:22,59321845,17915197190,59321845,302,5379,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329990/SRR35329990.lite.1,SRX30430915,GSM9228496,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465301,SAMN51250256,simple,10090,Mus musculus,GSM9228496,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,BDF9F52A37C05004383E0ED61BBF0D6D,DF8105A9EE6060A8A71DA41FF60EE642
SRR35329979,2026-02-05 14:35:38,2025-09-10 17:34:43,91295732,27571311064,91295732,302,8259,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329979/SRR35329979.lite.1,SRX30430926,GSM9228497,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465312,SAMN51250255,simple,10090,Mus musculus,GSM9228497,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,CAFCA71905A320D537B2981394AE8E80,8E2226B59154FCEAE53BE4F926240B78
SRR35329980,2026-02-05 14:35:38,2025-09-10 17:30:19,59771064,18050861328,59771064,302,5430,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329980/SRR35329980.lite.1,SRX30430925,GSM9228498,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465311,SAMN51250254,simple,10090,Mus musculus,GSM9228498,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,09CBDF2F584E90E34655BA881377EF4E,95F934E1F8C03D952C36B80168BD7066
SRR35329981,2026-02-05 14:35:38,2025-09-10 17:32:43,77269576,23335411952,77269576,302,7007,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329981/SRR35329981.lite.1,SRX30430924,GSM9228499,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465310,SAMN51250253,simple,10090,Mus musculus,GSM9228499,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,C8EC130AE08E406D75C67CE2B4495591,207637D924FBFC0880A8D8223343C806
SRR35329982,2026-02-05 14:35:38,2025-09-10 17:32:41,70763706,21370639212,70763706,302,6457,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329982/SRR35329982.lite.1,SRX30430923,GSM9228500,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465309,SAMN51250252,simple,10090,Mus musculus,GSM9228500,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,4C9E64F55B05328E8CA0EF989A462C41,EA152A6D4CE6AC3F571E590EE4920DD7
SRR35329983,2026-02-05 14:35:38,2025-09-10 17:30:51,69026313,20845946526,69026313,302,6278,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329983/SRR35329983.lite.1,SRX30430922,GSM9228501,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465308,SAMN51250251,simple,10090,Mus musculus,GSM9228501,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,0296B2CB1E25052940ED7B9FBE5F31AD,ABCC1619BD46717DC7CB9CAE8C7B3F06
SRR35329984,2026-02-05 14:35:38,2025-09-10 17:31:03,60683491,18326414282,60683491,302,5497,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329984/SRR35329984.lite.1,SRX30430921,GSM9228502,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465307,SAMN51250250,simple,10090,Mus musculus,GSM9228502,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,BE9B68E64F271F82934CA5B9BBAC7B33,76FF324A20CEF5751DB36E31B37A1E10
SRR35329978,2026-02-05 14:35:38,2025-09-10 17:30:30,62431273,18854244446,62431273,302,5643,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329978/SRR35329978.lite.1,SRX30430927,GSM9228503,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465313,SAMN51250249,simple,10090,Mus musculus,GSM9228503,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,B021BC5A070CB20E100E08160F7AA399,A10323C6ACA28B2FAF54CDCDC3F86D47
